PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,
117,2024-09-13,8,4,,,UCO_AVP,"Shpur, Caleb",Right,UCO_HUS,3,Bottom,2,3,0,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,,
118,2024-09-13,9,1,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,3,Bottom,2,0,0,Fastball,BallCalled,Undefined,Undefined,StolenBase,0,0,,,,
119,2024-09-13,9,2,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,3,Bottom,2,1,0,Fastball,BallCalled,HitbyPitch,Undefined,Undefined,0,0,,,,
120,2024-09-13,10,1,,,UCO_AVP,"Minick, Tyler",Right,UCO_HUS,3,Bottom,2,0,0,Fastball,InPlay,Undefined,FlyBall,HomeRun,0,4,105.2,,,
121,2024-09-13,11,1,,,UCO_AVP,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
122,2024-09-13,11,2,,,UCO_AVP,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
123,2024-09-13,11,3,,,UCO_AVP,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,2,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
124,2024-09-13,11,4,,,UCO_AVP,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,2,3,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
125,2024-09-13,11,5,,,UCO_AVP,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,2,3,1,Fastball,InPlay,Undefined,FlyBall,Out,1,0,102.2,,,
126,2024-09-13,1,1,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
127,2024-09-13,1,2,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
128,2024-09-13,1,3,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,0,1,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
129,2024-09-13,1,4,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,0,1,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
130,2024-09-13,1,5,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,0,1,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
131,2024-09-13,1,6,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
132,2024-09-13,1,7,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,0,2,2,Fastball,StrikeCalled,Strikeout,Undefined,Out,1,0,,,,
133,2024-09-13,2,1,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
134,2024-09-13,2,2,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,1,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
135,2024-09-13,2,3,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,1,1,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
136,2024-09-13,2,4,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,1,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
137,2024-09-13,2,5,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,1,2,2,Fastball,StrikeCalled,Strikeout,Undefined,Out,1,0,,,,
138,2024-09-13,3,1,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,4,Top,2,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
